date,depth,temperature
2010-05-06,0,13.393
2010-05-06,0.5,12.715
2010-05-06,1,12.559
2010-05-06,1.5,12.62
2010-05-06,2,12.704
2010-05-06,3,12.445
2010-05-06,4,12.184
2010-05-06,5,12.476
2010-05-06,6,12.551
2010-05-06,7,12.397
2010-05-06,8,12.192
2010-05-06,9,11.916
2010-05-06,10,11.886
2010-05-06,11,11.629
2010-05-06,12,11.678
2010-05-06,13,11.506
2010-05-06,14,11.67
2010-05-06,15,11.675
2010-05-06,16,11.679
2010-05-06,17,11.435
2010-05-06,18,11.551
2010-05-06,19,11.343
2010-05-06,20,11.194
2016-05-06,0,12.085
2016-05-06,0.5,11.769
2016-05-06,1,11.393
2016-05-06,1.5,10.926
2016-05-06,2,10.596
2016-05-06,3,10.202
2016-05-06,4,9.908
2016-05-06,5,9.732
2016-05-06,6,9.601
2016-05-06,7,9.483
2016-05-06,8,9.335
2016-05-06,9,9.238
2016-05-06,10,9.144
2016-05-06,11,9.041
2016-05-06,12,8.94
2016-05-06,13,8.842
2016-05-06,14,8.736
2016-05-06,15,8.629
2016-05-06,16,8.518
2016-05-06,17,8.376
2016-05-06,18,8.276
2016-05-06,19,8.207
2016-05-06,20,8.249
2012-05-06,0,12.256
2012-05-06,0.5,11.945
2012-05-06,1,11.922
2012-05-06,1.5,12.056
2012-05-06,2,12.125
2012-05-06,3,11.928
2012-05-06,4,11.637
2012-05-06,5,11.812
2012-05-06,6,11.65
2012-05-06,7,11.558
2012-05-06,8,11.463
2012-05-06,9,11.313
2012-05-06,10,11.157
2012-05-06,11,10.913
2012-05-06,12,10.846
2012-05-06,13,10.588
2012-05-06,14,10.66
2012-05-06,15,10.534
2012-05-06,16,10.406
2012-05-06,17,10.293
2012-05-06,18,10.538
2012-05-06,19,10.251
2012-05-06,20,10.115
2013-05-06,0,10.253
2013-05-06,0.5,9.551
2013-05-06,1,9.263
2013-05-06,1.5,9.155
2013-05-06,2,8.896
2013-05-06,3,7.714
2013-05-06,4,6.976
2013-05-06,5,6.973
2013-05-06,6,6.824
2013-05-06,7,6.668
2013-05-06,8,6.61
2013-05-06,9,6.558
2013-05-06,10,6.61
2013-05-06,11,6.563
2013-05-06,12,6.65
2013-05-06,13,6.567
2013-05-06,14,6.608
2013-05-06,15,6.695
2013-05-06,16,6.583
2013-05-06,17,6.503
2013-05-06,18,6.583
2013-05-06,19,6.462
2013-05-06,20,6.385